3337 4
start,apnea_state,end,source_file
1753,1,1769,2
3586,1,3606,2
3697,1,3710,2
3745,1,3758,2
4067,1,4081,2
4297,1,4307,2
5382,1,5397,2
5512,1,5525,2
5664,1,5678,2
5747,1,5769,2
5799,1,5814,2
5827,1,5841,2
5854,1,5866,2
5894,1,5912,2
5919,1,5933,2
5944,1,5961,2
5980,1,5995,2
6015,1,6032,2
6048,2,6063,2
6092,1,6104,2
6142,2,6159,2
6185,1,6203,2
6231,1,6256,2
6291,1,6318,2
6334,1,6359,2
6398,1,6416,2
6493,1,6511,2
6534,1,6548,2
6584,1,6605,2
6626,1,6653,2
6696,1,6710,2
6730,1,6746,2
6751,1,6762,2
6812,1,6825,2
6844,1,6861,2
6884,1,6912,2
6943,1,6959,2
6986,1,7014,2
7082,1,7110,2
7123,1,7138,2
7862,1,7875,2
11613,1,11630,2
11845,1,11863,2
11916,1,11936,2
11958,1,11980,2
11993,1,12010,2
12027,1,12058,2
12079,1,12113,2
12135,1,12164,2
12779,1,12795,2
12804,1,12819,2
12844,1,12861,2
13246,1,13262,2
13847,1,13863,2
13989,1,14003,2
14077,1,14099,2
14128,1,14144,2
14167,1,14183,2
14192,1,14210,2
14224,2,14243,2
14272,2,14288,2
14310,2,14327,2
14357,2,14379,2
14397,1,14413,2
14440,1,14455,2
14471,1,14489,2
14509,1,14531,2
14553,1,14577,2
14622,1,14638,2
14657,1,14673,2
14698,1,14715,2
14747,1,14765,2
14799,1,14819,2
14847,1,14865,2
14893,1,14911,2
14936,1,14955,2
14973,1,14999,2
15024,1,15039,2
15096,1,15122,2
15144,1,15164,2
15190,1,15215,2
15230,1,15264,2
15280,1,15313,2
15335,2,15361,2
15382,1,15405,2
15440,1,15457,2
15596,1,15609,2
15635,1,15649,2
15670,1,15686,2
15710,1,15731,2
15752,1,15780,2
15838,1,15861,2
16026,1,16042,2
16072,1,16092,2
16119,1,16143,2
16170,1,16186,2
16216,1,16234,2
16265,1,16291,2
16311,1,16330,2
16365,1,16383,2
16414,1,16437,2
16466,1,16489,2
16521,1,16540,2
16608,1,16630,2
16660,1,16683,2
16722,1,16741,2
16771,1,16792,2
16851,1,16875,2
16924,1,16942,2
16983,1,17005,2
17033,1,17051,2
17093,1,17113,2
17145,1,17159,2
17755,1,17775,2
17811,1,17837,2
17867,1,17888,2
17919,1,17944,2
17985,1,18010,2
18035,1,18061,2
18086,1,18107,2
18129,1,18160,2
18183,1,18202,2
18303,2,18315,2
18349,2,18365,2
1982,1,1995,3
2340,1,2356,3
2411,1,2430,3
2504,1,2520,3
2542,1,2556,3
2561,1,2573,3
2583,1,2594,3
2710,1,2725,3
2740,1,2754,3
2773,1,2787,3
2808,1,2823,3
2831,1,2842,3
2855,2,2868,3
2886,2,2899,3
2914,2,2926,3
2945,1,2957,3
2995,1,3005,3
3025,2,3037,3
3441,1,3455,3
3632,1,3650,3
3846,1,3869,3
4142,1,4161,3
4186,1,4200,3
4213,1,4228,3
4242,1,4258,3
4432,1,4446,3
4453,1,4464,3
4501,1,4514,3
4528,1,4542,3
4561,1,4574,3
4661,1,4680,3
4761,1,4773,3
5460,1,5479,3
5489,1,5506,3
5625,1,5639,3
5681,1,5699,3
5839,1,5857,3
5891,1,5905,3
5916,1,5932,3
5975,1,5995,3
6035,1,6060,3
6088,1,6103,3
6133,1,6151,3
6171,1,6186,3
6219,1,6234,3
6253,1,6268,3
6285,1,6302,3
6318,1,6337,3
6362,1,6380,3
6410,1,6426,3
6467,1,6482,3
6530,1,6551,3
6672,1,6686,3
6691,1,6704,3
6761,1,6779,3
6819,1,6836,3
6899,1,6919,3
7119,1,7134,3
7240,1,7257,3
7273,1,7291,3
7410,1,7429,3
7860,1,7879,3
7962,1,7979,3
8371,1,8393,3
8428,1,8445,3
8650,1,8665,3
8689,1,8710,3
8727,1,8749,3
8815,1,8837,3
8877,1,8892,3
9206,1,9222,3
9527,1,9549,3
9589,1,9612,3
9720,1,9739,3
9844,1,9863,3
9898,1,9915,3
9975,1,9994,3
10060,1,10077,3
10098,1,10112,3
10134,1,10156,3
10214,1,10234,3
10819,1,10832,3
10875,1,10889,3
11016,1,11040,3
11337,3,11346,3
13730,1,13744,3
13756,1,13771,3
13788,1,13805,3
13883,1,13898,3
13907,1,13923,3
13936,1,13948,3
13958,1,13971,3
14003,1,14018,3
14028,1,14041,3
14056,1,14071,3
14138,1,14150,3
14158,1,14171,3
14182,1,14197,3
14211,1,14225,3
14260,1,14278,3
14292,1,14307,3
14316,1,14333,3
14342,1,14361,3
14372,1,14394,3
14405,1,14421,3
14432,1,14449,3
14459,1,14471,3
14481,1,14496,3
14505,1,14517,3
14525,1,14542,3
14562,1,14576,3
14592,1,14606,3
14618,1,14634,3
14647,1,14660,3
14675,2,14692,3
14704,1,14717,3
14727,1,14742,3
14760,2,14774,3
14790,2,14803,3
14818,2,14834,3
14849,2,14864,3
15060,1,15076,3
15131,1,15144,3
15390,1,15401,3
15420,1,15434,3
15684,1,15700,3
15896,1,15913,3
15921,1,15937,3
15946,1,15962,3
15976,1,15990,3
16001,1,16017,3
16029,1,16044,3
16061,2,16072,3
16090,1,16108,3
16120,1,16136,3
16182,1,16196,3
16208,1,16222,3
16238,1,16252,3
16265,1,16280,3
16300,1,16315,3
16334,1,16349,3
16371,1,16385,3
16402,1,16416,3
16441,2,16455,3
16465,1,16483,3
16499,1,16516,3
16527,1,16545,3
16561,1,16576,3
16587,1,16600,3
16611,1,16626,3
16640,1,16658,3
16670,1,16684,3
16696,1,16712,3
16728,1,16743,3
16810,2,16828,3
16843,1,16856,3
16871,1,16887,3
16899,2,16911,3
16926,1,16943,3
16955,1,16969,3
16981,1,17000,3
17015,1,17036,3
17051,2,17069,3
17085,1,17105,3
17116,1,17137,3
17148,1,17172,3
17185,2,17207,3
17221,1,17241,3
17254,1,17273,3
17288,1,17303,3
17314,1,17345,3
17364,2,17384,3
17398,1,17419,3
17435,1,17452,3
17467,1,17495,3
17508,2,17530,3
17546,2,17575,3
17593,2,17619,3
17637,2,17662,3
17677,2,17699,3
17716,2,17733,3
17746,1,17761,3
17774,2,17798,3
17812,2,17838,3
17855,2,17879,3
17895,2,17921,3
17977,1,17990,3
18005,1,18018,3
18030,1,18053,3
18065,1,18090,3
18105,2,18125,3
18136,2,18155,3
18168,1,18187,3
18202,2,18217,3
18241,2,18259,3
18274,2,18296,3
18314,2,18332,3
18348,2,18382,3
18398,2,18429,3
18444,2,18478,3
18495,1,18520,3
18528,2,18542,3
18561,2,18583,3
18596,1,18612,3
18625,1,18643,3
18655,1,18689,3
18712,1,18730,3
18742,1,18767,3
18805,1,18830,3
18848,1,18870,3
18903,1,18923,3
